,word,count
0,professor,414
1,questions,326
2,final,216
3,exams,215
4,material,179
5,tests,168
6,hours,168
7,time,168
8,easy,168
9,good,167
10,points,161
11,midterm,155
12,recommend,153
13,maloy,153
14,great,147
15,office,144
16,launchpad,140
17,helpful,136
18,hard,133
19,make,131
20,best,126
21,grade,125
22,definitely,124
23,credit,122
24,exam,121
25,corbin,114
26,extra,111
27,difficult,111
28,need,109
29,midterms,108
30,every,107
31,overall,106
32,problems,105
33,way,104
34,help,103
35,first,98
36,concepts,98
37,study,96
38,slides,95
39,nag,95
40,pham,93
41,practice,91
42,taking,91
43,understand,91
44,people,90
45,ta,90
46,think,90
47,professors,90
48,course,89
49,review,88
50,dr.,88
51,interesting,87
52,want,85
53,clicker,85
54,could,84
55,textbook,83
56,engaging,81
57,notes,81
58,work,81
59,always,80
60,learn,80
61,ucla,80
62,super,79
63,online,78
64,reading,76
65,learning,76
66,answer,74
67,everything,73
68,’,72
69,quizzes,68
70,amazing,68
71,never,68
72,physics,68
73,long,68
74,extremely,67
75,test,66
76,cares,66
77,question,66
78,homework,65
79,chemistry,64
80,highly,63
81,problem,63
82,week,62
83,2,60
84,little,60
85,still,59
86,ever,59
87,clear,58
88,paper,58
89,feel,57
90,anish,57
91,readings,56
92,read,55
93,sessions,55
94,give,55
95,``,54
96,'',54
97,student,54
98,classes,54
99,teaching,54
100,fair,53
101,group,53
102,say,53
103,understanding,53
104,chem,53
105,better,52
106,bit,52
107,min,52
108,lecturer,52
109,two,51
110,ask,51
111,far,51
112,worksheets,51
113,grading,50
114,quite,49
115,honestly,48
116,put,48
117,funny,47
118,ge,47
119,studying,47
120,content,47
121,nice,45
122,guy,45
123,'m,44
124,times,44
125,bad,44
126,learned,44
127,enough,44
128,thought,44
129,participation,43
130,resources,43
131,especially,43
132,everyone,42
133,series,42
134,teacher,42
135,information,42
136,since,41
137,stuff,40
138,may,40
139,fun,40
140,ap,40
141,effort,39
142,said,39
143,high,39
144,man,39
145,found,39
146,worth,38
147,genuinely,38
148,weekly,38
149,probably,37
150,100,37
151,10,37
152,important,37
153,based,37
154,able,36
155,second,36
156,challenging,36
157,...,36
158,kind,36
159,miss,36
160,succeed,36
161,something,35
162,14d,35
163,graded,35
164,gave,35
165,end,35
166,basically,35
167,possible,35
168,sometimes,35
169,answers,35
170,try,35
171,different,34
172,taken,34
173,'d,34
174,grades,34
175,short,34
176,fine,34
177,assignments,33
178,attention,33
179,come,33
180,tough,33
181,*,32
182,part,32
183,wants,32
184,went,32
185,pay,32
186,major,32
187,classroom,31
188,thing,31
189,back,31
190,email,31
191,attend,31
192,truly,31
193,harder,31
194,bio,31
195,given,31
196,multiple,31
197,3,30
198,teaches,30
199,see,30
200,amount,30
201,enjoyed,29
202,use,29
203,although,29
204,anything,29
205,write,29
206,average,29
207,?,29
208,subject,29
209,easier,29
210,person,28
211,general,28
212,day,28
213,useful,28
214,almost,28
215,anyone,28
216,least,28
217,school,28
218,due,28
219,often,28
220,topics,28
221,life,27
222,love,27
223,around,27
224,point,27
225,felt,27
226,1,27
227,posts,27
228,getting,26
229,right,26
230,7a,26
231,choice,26
232,experience,26
233,says,26
234,ended,26
235,top,26
236,completely,26
237,phase,25
238,beren,25
239,free,25
240,similar,25
241,reviews,25
242,score,24
243,already,24
244,section,24
245,memorization,24
246,straightforward,24
247,literally,24
248,matter,24
249,--,24
250,required,24
251,ls,24
252,essay,24
253,flipped,24
254,tas,23
255,goes,23
256,clearly,23
257,boring,23
258,doable,23
259,absolutely,23
260,taught,23
261,whole,23
262,lavelle,23
263,finals,22
264,opportunities,22
265,explains,22
266,discussions,22
267,a.,22
268,knows,22
269,used,22
270,memorize,22
271,book,22
272,individual,22
273,organic,22
274,fall,22
275,..,22
276,find,22
277,practical,22
278,la,22
279,organized,21
280,4,21
281,50,21
282,history,21
283,provides,21
284,either,21
285,assigned,21
286,instead,21
287,opinion,21
288,behind,21
289,tell,21
290,rather,21
291,essays,21
292,keep,20
293,details,20
294,explain,20
295,heard,20
296,mandatory,20
297,usually,20
298,change,20
299,b,20
300,passionate,20
301,annoying,20
302,prepare,20
303,1b,20
304,>,20
305,making,20
306,half,20
307,30,19
308,full,19
309,quiz,19
310,advice,19
311,show,19
312,easily,19
313,explaining,19
314,seems,19
315,personally,19
316,looking,19
317,ccle,19
318,prof,19
319,loved,19
320,throughout,19
321,knowledge,19
322,talk,19
323,tries,19
324,20,19
325,ochem,19
326,focus,19
327,format,19
328,examples,19
329,las,19
330,seem,19
331,another,18
332,ls7a,18
333,straight,18
334,ones,18
335,nothing,18
336,simple,18
337,someone,18
338,new,18
339,without,18
340,style,18
341,background,18
342,advantage,18
343,trying,18
344,total,17
345,posted,17
346,cool,17
347,sections,17
348,studied,17
349,provided,17
350,job,17
351,goldberg,17
352,ton,17
353,days,17
354,favorite,17
355,look,17
356,tricky,17
357,awesome,17
358,weeks,17
359,using,17
360,teach,17
361,attendance,17
362,solving,17
363,done,17
364,topic,17
365,entire,17
366,reason,17
367,key,17
368,mind,17
369,care,16
370,must,16
371,fact,16
372,biology,16
373,na,16
374,wrong,16
375,quickly,16
376,workload,16
377,kinda,16
378,7,16
379,thinking,16
380,curve,16
381,theater,16
382,confusing,16
383,available,16
384,chandler,16
385,helps,16
386,please,16
387,chance,16
388,takes,16
389,concept,16
390,5,16
391,came,16
392,interested,15
393,[,15
394,world,15
395,success,15
396,generous,15
397,year,15
398,application,15
399,],15
400,real,15
401,simply,15
402,specific,15
403,yes,15
404,complete,15
405,scores,15
406,memorizing,15
407,spend,15
408,single,15
409,stress,15
410,stay,15
411,jokes,15
412,selling,15
413,helped,15
414,materials,15
415,maybe,15
416,last,15
417,might,15
418,waste,15
419,certain,15
420,minutes,15
421,summer,15
422,covid,14
423,unless,14
424,clc,14
425,analysis,14
426,covered,14
427,else,14
428,mostly,14
429,offered,14
430,gon,14
431,confused,14
432,partial,14
433,scheme,14
434,open,14
435,asked,14
436,comes,14
437,fairly,14
438,prepared,14
439,willing,14
440,groups,14
441,means,14
442,offers,14
443,sets,14
444,finish,14
445,lots,14
446,text,14
447,thoroughly,14
448,expect,14
449,iclicker,14
450,set,14
451,lab,14
452,etc,14
453,hardest,14
454,relevant,14
455,liked,13
456,approach,13
457,example,13
458,approachable,13
459,c,13
460,wo,13
461,accommodating,13
462,ls7,13
463,protected,13
464,absolute,13
465,order,13
466,ca,13
467,reactions,13
468,8,13
469,strong,13
470,low,13
471,enjoy,13
472,incredibly,13
473,form,13
474,outside,13
475,braybrook,13
476,shows,13
477,excellent,13
478,mean,13
479,terms,13
480,let,13
481,believe,13
482,others,13
483,necessary,13
484,relatively,13
485,several,12
486,reasonable,12
487,remember,12
488,fast,12
489,written,12
490,true,12
491,coming,12
492,big,12
493,science,12
494,expected,12
495,confident,12
496,previous,12
497,interest,12
498,attending,12
499,impossible,12
500,god,12
501,sense,12
502,hand,12
503,enjoyable,12
504,hands,12
505,friscia,12
506,away,12
507,caring,12
508,a-,12
509,three,12
510,difficulty,12
511,old,12
512,rest,12
513,word,12
514,apply,12
515,hour,12
516,note,12
517,beginning,12
518,requires,12
519,buy,11
520,testing,11
521,wanted,11
522,videos,11
523,reviewing,11
524,diagrams,11
525,reader,11
526,cover,11
527,tested,11
528,worry,11
529,oh,11
530,encourages,11
531,classics,11
532,15,11
533,start,11
534,entertaining,11
535,issues,11
536,useless,11
537,basic,11
538,video,11
539,explained,11
540,talks,11
541,answered,11
542,seen,11
543,portion,11
544,struggling,11
545,solve,11
546,huge,11
547,seemed,11
548,chill,11
549,ec,11
550,prof.,11
551,200,11
552,past,10
553,choose,10
554,manageable,10
555,provide,10
556,glad,10
557,mistakes,10
558,detail,10
559,regret,10
560,structure,10
561,campuswire,10
562,gotten,10
563,college,10
564,facts,10
565,okay,10
566,despite,10
567,skim,10
568,optional,10
569,giving,10
570,lenient,10
571,worked,10
572,names,10
573,per,10
574,talking,10
575,system,10
