word,female,male
professor,309,414
questions,234,326
easy,218,168
final,189,216
material,180,179
homework,165,65
exams,155,215
good,151,167
time,150,168
midterm,133,155
hours,126,168
ta,122,90
helpful,115,136
tests,113,168
quizzes,110,68
recommend,110,153
hard,107,133
understand,105,91
difficult,104,111
course,98,89
office,98,144
textbook,97,83
grade,93,125
make,92,131
concepts,91,98
week,90,62
midterms,89,108
exam,89,121
definitely,87,124
help,87,103
great,84,147
first,84,98
work,82,81
every,78,107
overall,78,106
dr.,76,88
practice,71,91
think,71,90
extra,71,111
problems,70,105
need,70,109
super,70,79
stats,70,0
everything,69,73
taking,68,91
could,66,84
people,66,90
labs,65,4
best,64,126
always,63,80
bad,63,44
math,62,8
online,62,78
learning,61,76
way,60,104
points,60,161
10,58,37
nice,56,45
study,56,96
still,55,59
two,55,51
taken,55,34
credit,55,122
lab,54,14
answer,54,74
long,54,68
’,54,72
clear,53,58
2,53,60
read,52,55
never,52,68
cha,51,0
ucla,51,80
extremely,50,67
learn,49,80
assignments,49,33
honestly,48,48
group,48,53
weekly,48,38
launchpad,47,140
cares,47,66
want,47,85
felt,47,27
classes,46,54
clicker,46,85
``,46,54
'',46,54
fair,45,53
teaching,45,54
since,44,41
review,44,88
highly,43,63
slides,43,95
notes,43,81
little,42,60
feel,42,57
said,42,39
better,42,52
say,41,53
grading,41,50
amazing,40,68
kind,40,36
high,40,39
fine,40,34
participation,40,43
learned,40,44
put,40,48
book,39,22
may,39,40
rose,39,0
lecturer,39,52
series,39,42
professors,39,90
test,39,66
times,38,44
enough,38,44
understanding,38,53
reading,38,76
question,37,66
especially,37,43
ap,36,40
interesting,36,87
?,35,29
examples,35,19
tas,35,23
content,35,47
student,35,54
*,35,32
20,35,19
bit,35,52
covered,34,14
easier,34,29
due,34,28
prof,34,19
person,34,28
amount,34,30
ask,33,51
went,33,32
confusing,33,16
school,33,28
sometimes,33,35
anything,33,29
grades,32,34
basically,32,35
explain,32,20
finals,32,22
different,32,34
--,32,24
thought,32,44
5,32,16
30,32,19
often,32,28
graded,31,35
'm,31,44
fairly,31,14
videos,31,11
usually,31,20
average,31,29
sanchez,30,0
worksheets,30,51
attention,30,33
end,30,35
teach,30,17
similar,30,25
ever,30,59
1,30,27
second,30,36
pires,30,0
reviews,29,25
ended,29,26
important,29,37
probably,29,37
found,29,39
follow,29,8
multiple,29,31
thing,28,31
lowest,28,10
khankan,28,0
least,28,28
based,28,37
explaining,28,19
pay,27,32
around,27,27
something,27,35
teacher,27,42
sherry,27,0
find,27,22
flipped,27,24
everyone,27,42
3,27,30
major,26,32
far,26,51
helped,26,15
watch,26,5
ls,26,24
section,26,24
choice,25,26
coding,25,0
discussions,25,22
day,25,28
venugopal,25,0
worth,25,38
readings,25,56
another,25,18
harder,24,31
problem,24,63
use,24,29
complete,24,15
15,24,11
deb,24,0
classroom,24,31
might,24,15
casey,24,0
...,24,36
last,24,15
straightforward,24,24
chemistry,23,64
effort,23,39
open,23,14
right,23,26
give,23,55
simple,23,18
completely,23,26
topics,23,28
attend,23,31
difficulty,23,12
given,22,31
studying,22,47
getting,22,26
challenging,22,36
ca,22,13
engaging,22,81
ge,22,47
quiz,22,19
biology,22,16
answers,22,35
almost,22,28
conceptual,21,6
less,21,10
tries,21,19
live,21,6
taught,21,23
workload,21,16
project,21,8
chem,20,53
sessions,20,55
pre-class,20,5
job,20,17
part,20,32
literally,20,24
stuff,20,40
explanations,20,9
half,20,20
lee,20,0
hw,20,8
see,20,30
try,20,35
succeed,20,36
love,20,27
score,19,24
curve,19,16
gong,19,0
enjoyed,19,29
weeks,19,17
free,19,25
goes,19,23
although,19,29
either,19,21
someone,19,18
absolutely,19,23
genuinely,19,38
relatively,19,13
write,18,29
dropped,18,7
whole,18,23
knowledge,18,19
entire,18,17
concept,18,16
wo,18,13
