word,gender,count
professor,male,414
questions,male,326
professor,female,309
questions,female,234
easy,female,218
final,male,216
exams,male,215
final,female,189
material,female,180
material,male,179
tests,male,168
hours,male,168
time,male,168
easy,male,168
good,male,167
homework,female,165
points,male,161
midterm,male,155
exams,female,155
maloy,male,153
recommend,male,153
good,female,151
time,female,150
great,male,147
office,male,144
launchpad,male,140
helpful,male,136
hard,male,133
midterm,female,133
make,male,131
hours,female,126
best,male,126
grade,male,125
definitely,male,124
credit,male,122
ta,female,122
exam,male,121
helpful,female,115
corbin,male,114
tests,female,113
extra,male,111
difficult,male,111
recommend,female,110
quizzes,female,110
need,male,109
midterms,male,108
hard,female,107
every,male,107
overall,male,106
problems,male,105
understand,female,105
difficult,female,104
way,male,104
help,male,103
concepts,male,98
first,male,98
course,female,98
office,female,98
textbook,female,97
study,male,96
slides,male,95
nag,male,95
grade,female,93
pham,male,93
make,female,92
understand,male,91
practice,male,91
concepts,female,91
taking,male,91
think,male,90
people,male,90
professors,male,90
ta,male,90
week,female,90
course,male,89
midterms,female,89
exam,female,89
dr.,male,88
review,male,88
definitely,female,87
help,female,87
interesting,male,87
clicker,male,85
want,male,85
could,male,84
great,female,84
first,female,84
textbook,male,83
work,female,82
engaging,male,81
notes,male,81
work,male,81
learn,male,80
ucla,male,80
always,male,80
super,male,79
online,male,78
overall,female,78
every,female,78
learning,male,76
reading,male,76
dr.,female,76
answer,male,74
everything,male,73
’,male,72
practice,female,71
extra,female,71
think,female,71
problems,female,70
need,female,70
super,female,70
stats,female,70
everything,female,69
amazing,male,68
taking,female,68
quizzes,male,68
physics,male,68
long,male,68
never,male,68
extremely,male,67
could,female,66
people,female,66
cares,male,66
question,male,66
test,male,66
labs,female,65
homework,male,65
chemistry,male,64
best,female,64
always,female,63
bad,female,63
problem,male,63
highly,male,63
week,male,62
online,female,62
math,female,62
learning,female,61
2,male,60
little,male,60
way,female,60
points,female,60
still,male,59
ever,male,59
paper,male,58
clear,male,58
10,female,58
feel,male,57
anish,male,57
nice,female,56
readings,male,56
study,female,56
taken,female,55
sessions,male,55
read,male,55
still,female,55
two,female,55
credit,female,55
give,male,55
'',male,54
``,male,54
classes,male,54
long,female,54
’,female,54
answer,female,54
lab,female,54
student,male,54
teaching,male,54
clear,female,53
2,female,53
chem,male,53
say,male,53
group,male,53
understanding,male,53
fair,male,53
min,male,52
never,female,52
read,female,52
bit,male,52
lecturer,male,52
better,male,52
two,male,51
ucla,female,51
ask,male,51
worksheets,male,51
far,male,51
cha,female,51
grading,male,50
extremely,female,50
learn,female,49
assignments,female,49
quite,male,49
put,male,48
honestly,male,48
honestly,female,48
group,female,48
weekly,female,48
studying,male,47
felt,female,47
want,female,47
cares,female,47
ge,male,47
launchpad,female,47
content,male,47
funny,male,47
'',female,46
clicker,female,46
classes,female,46
``,female,46
fair,female,45
guy,male,45
nice,male,45
teaching,female,45
since,female,44
'm,male,44
times,male,44
enough,male,44
learned,male,44
thought,male,44
review,female,44
bad,male,44
resources,male,43
notes,female,43
especially,male,43
highly,female,43
slides,female,43
participation,male,43
said,female,42
little,female,42
better,female,42
information,male,42
teacher,male,42
series,male,42
everyone,male,42
feel,female,42
grading,female,41
say,female,41
since,male,41
put,female,40
learned,female,40
participation,female,40
may,male,40
kind,female,40
fine,female,40
fun,male,40
amazing,female,40
high,female,40
ap,male,40
stuff,male,40
series,female,39
said,male,39
lecturer,female,39
rose,female,39
book,female,39
test,female,39
found,male,39
high,male,39
professors,female,39
may,female,39
effort,male,39
man,male,39
worth,male,38
genuinely,male,38
times,female,38
enough,female,38
understanding,female,38
reading,female,38
weekly,male,38
question,female,37
probably,male,37
100,male,37
based,male,37
especially,female,37
important,male,37
10,male,37
...,male,36
second,male,36
able,male,36
miss,male,36
interesting,female,36
ap,female,36
succeed,male,36
kind,male,36
challenging,male,36
14d,male,35
try,male,35
gave,male,35
content,female,35
bit,female,35
20,female,35
*,female,35
student,female,35
?,female,35
examples,female,35
tas,female,35
answers,male,35
possible,male,35
end,male,35
sometimes,male,35
graded,male,35
something,male,35
basically,male,35
covered,female,34
easier,female,34
due,female,34
prof,female,34
different,male,34
taken,male,34
person,female,34
fine,male,34
grades,male,34
'd,male,34
amount,female,34
short,male,34
ask,female,33
confusing,female,33
anything,female,33
tough,male,33
sometimes,female,33
assignments,male,33
attention,male,33
come,male,33
school,female,33
went,female,33
thought,female,32
--,female,32
finals,female,32
often,female,32
pay,male,32
*,male,32
explain,female,32
5,female,32
part,male,32
wants,male,32
30,female,32
basically,female,32
grades,female,32
went,male,32
major,male,32
different,female,32
classroom,male,31
thing,male,31
harder,male,31
average,female,31
multiple,male,31
graded,female,31
videos,female,31
email,male,31
'm,female,31
back,male,31
given,male,31
truly,male,31
fairly,female,31
bio,male,31
attend,male,31
usually,female,31
similar,female,30
attention,female,30
amount,male,30
ever,female,30
1,female,30
second,female,30
pires,female,30
see,male,30
teach,female,30
3,male,30
teaches,male,30
end,female,30
worksheets,female,30
sanchez,female,30
reviews,female,29
ended,female,29
multiple,female,29
probably,female,29
found,female,29
follow,female,29
important,female,29
?,male,29
write,male,29
easier,male,29
anything,male,29
subject,male,29
average,male,29
although,male,29
use,male,29
enjoyed,male,29
almost,male,28
thing,female,28
least,female,28
based,female,28
useful,male,28
general,male,28
anyone,male,28
explaining,female,28
topics,male,28
khankan,female,28
day,male,28
least,male,28
often,male,28
school,male,28
person,male,28
due,male,28
lowest,female,28
around,female,27
pay,female,27
something,female,27
teacher,female,27
sherry,female,27
felt,male,27
posts,male,27
life,male,27
point,male,27
3,female,27
love,male,27
around,male,27
1,male,27
flipped,female,27
find,female,27
everyone,female,27
7a,male,26
ls,female,26
ended,male,26
says,male,26
choice,male,26
right,male,26
completely,male,26
section,female,26
experience,male,26
watch,female,26
helped,female,26
far,female,26
major,female,26
top,male,26
getting,male,26
day,female,25
free,male,25
readings,female,25
reviews,male,25
similar,male,25
worth,female,25
another,female,25
venugopal,female,25
phase,male,25
beren,male,25
choice,female,25
coding,female,25
discussions,female,25
flipped,male,24
literally,male,24
score,male,24
memorization,male,24
deb,female,24
straightforward,male,24
problem,female,24
complete,female,24
section,male,24
classroom,female,24
ls,male,24
already,male,24
--,male,24
harder,female,24
might,female,24
use,female,24
straightforward,female,24
last,female,24
essay,male,24
15,female,24
...,female,24
matter,male,24
casey,female,24
required,male,24
boring,male,23
effort,female,23
clearly,male,23
chemistry,female,23
goes,male,23
absolutely,male,23
open,female,23
whole,male,23
difficulty,female,23
attend,female,23
topics,female,23
completely,female,23
doable,male,23
simple,female,23
give,female,23
right,female,23
taught,male,23
lavelle,male,23
tas,male,23
book,male,22
practical,male,22
find,male,22
individual,male,22
used,male,22
finals,male,22
a.,male,22
given,female,22
studying,female,22
knows,male,22
getting,female,22
challenging,female,22
ca,female,22
explains,male,22
engaging,female,22
discussions,male,22
memorize,male,22
biology,female,22
opportunities,male,22
organic,male,22
..,male,22
la,male,22
answers,female,22
almost,female,22
quiz,female,22
ge,female,22
fall,male,22
tell,male,21
essays,male,21
4,male,21
history,male,21
assigned,male,21
50,male,21
organized,male,21
behind,male,21
instead,male,21
rather,male,21
live,female,21
either,male,21
opinion,male,21
provides,male,21
conceptual,female,21
less,female,21
project,female,21
taught,female,21
tries,female,21
workload,female,21
passionate,male,20
>,male,20
job,female,20
chem,female,20
half,male,20
annoying,male,20
1b,male,20
